Tb;Sommet;Base;Dim.;Etat;Pillage;Individu;;;Faune;;Ceram.;Mobilier ;Surface
[n°];[m];[m];[m];;;[nb];[En place];[Age];[chien];[mouton];[nb];;
80;;;1.9x2.2;Fouillé 83;Sévère;1;Pied;;;;1;Arc;
81;;;1.8x2.0;Fouillé 83;Partiel;1;Bassin, jambes, pieds;;;3;;Laisse, poignard;
82;;;3.5x3.4;Fouillé 83;Sévère;1;Bassin, jambes, pieds, bras;;;;;;
83;;;2.5x2.4;Fouillé 83;Sévère;1;;;;1;;;2 bucranes
84;;;2.3x2.0;Fouillé 83;Sévère;1;;;;1;1;;
85;;;3.1x3.1;Fouillé 83;Partiel;1;Pieds;;;3;2-3;;
583;5,12;3,83;3.5x3.5;Fouillé;Sévère;1;Pieds;Adulte;;3;1;Coquillage nacre perforé;
584;5,16;3,91;3.0x2.2;Fouillé;Partiel;1;Pied;Adulte;;1;2;;25 bucranes, 1 bol retourné
585;5,06;4,28;1.9x1.6;Fouillé;Partiel;1;Bras, tibias, pieds;Juvénile;;;;;
586;5,1;3,58;3.7x3.6;Fouillé;Partiel;2;;Adulte;2;15;;1 mouton décoré avec disque de plume, poignée poignard, pectoral en nacre;
587;5,18;3.80;3.0x2.8;Fouillé;Partiel;2;;Adulte;;2;2;;
588;5,19;4,03;2.5x2.3;Fouillé;Partiel;1;Tronc partiel, jambes, pieds;Adulte;;1;6;Bois, lit?, Perles en or;
589;5,36;3,97;2.5x2.0;Fouillé;Sévère;1;Pied;Adulte;;1;4;;
590;5,19;4,61;1.8x2.2;Fouillé;Sévère;1;;Juvénile;;1;;;
591;5,23;;3.3x3.7;Ouvert seul.;;;;;;;;;
592;5,24;4,22;2.7x2.9;Fouillé;Ponctuel;1;Colonne, bassin, jambes, pieds;Adulte;;2;3;2 coffres, 1 filtre, 1 bâton, vannerie;Bol retourné
593;5,08;4;2.0x2.0;Fouillé;Sévère;1;Pied;Adulte;;;;;Bol retourné
594;5,21;4,07;2.2x2.1;Fouillé;Sévère;1;Jambes;Adulte;;;;;
595;5,08;3,86;2.3x2.3;Fouillé;Partiel;1;Tronc partiel, jambes, pieds;Adulte;;1;1;Bâton?;
596;5,13;3,72;3.8x3.3;Fouillé;Sévère;1;;Adulte;;7;;Coquillage nacre perforé;
597;4,97;3,91;2.4x2.5;Fouillé;Partiel;1;;Adulte ;;1;5;Arc?;
598;5,13;3,76;3.0x3.1;Fouillé;Partiel;2;Jambes, pieds;Juvénile;1;4;15;Coffre, mouton à disque, coquillage nacre perforé;
599;5,15;3,95;2.2x2.1;Fouillé;Ponctuel;1;Momie sans tête;Adulte;;;;6 peignes à céramique, lissoir, hématite, hache polie;
600;5,19;;3.5x3.3;Ouvert seul.;;;;;;;;;
601;5,23;3,74;2.6x2.2;Fouillé;Ponctuel;1;Tibia, pieds;Juvénile;;;16;Coffre;
602;5,1;3,89;2.3x2.3;Fouillé;Sévère;1;;Juvénile;;1;2;;
603;5,14;4,29;1.5x1.6;Fouillé;Partiel;1;Tronc partiel, jambes, pieds;Juvénile;;;1;;
604;5,05;4,11;1.9x2.0;Fouillé;Partiel;1;Jambes, pieds;Adulte;;;3;8 outils de potiers? 1 peigne, 1 hématite;
605;4,97;4,15;2.2x2.2;Fouillé;Sévère;1;;Adulte;;;;Frag. bracelet ivoire;
606;5;4,31;2.0x1.5;Fouillé;Sévère;2?;Pied;Ad/juv;;;;;
607;5;3,78;2.3x2.3;Fouillé;Partiel;1;Bassin, Jambes, pieds;Adulte;1;6;;Bague ivoire;
608;5,22;4,13;2.2x1.8;Fouillé;Partiel;1;Bras, mains;Juvénile;;1;;;
609;5,31;4,85;1.5x1.4;Fouillé;Sévère;1;;;;;;;
610;4,93;3,75;2.5x2.6;Fouillé;Partiel;1;Bassin, jambes, pieds;Adulte;1;6;;Armatures (segments), cordelette, mouton décoré d'un disque;
611;5,06;4,02;2.0x2.0;Fouillé;Sévère;1;;Adulte;;;;;
612;5,28;4,64;1.8x1.6;Fouillé;Sévère;1;Bras, main;Adulte;;;2;;
613;5,24;4,81;1.3x1.3;Fouillé;Sévère;1;;;;;;;
614;5,16;4,53;1.9x1.6;Fouillé;Sévère;1;;Juvénile;;;;;
615;5,11;;3.1x3.0;Ouvert seul.;;;;;;;;Vachette en argile;